frequency_rank,word,meaning,transliteration,menukad,part_of_speech,root
699,בת,girl / daughter,bat,,,
700,קשר,tie / bond / link / connection,kesher,,,
701,מדינת,the state of,medinat,,,
702,אותן,them (f.),otan,,,
703,עצמם,themselves,atsmam,,,
704,נחשב,is considered / was considered (m.s.),nekhshav,,,
705,התקופה,the period / the era,hatkufa,,,
706,לעולם,forever,le'olam,,,
707,לעולם,to/for the world,la'olam,,,
708,העבודה,the work,ha'avoda,,,
709,במידה,of a measure / of size / of a quality / to the extent that / [if (slang)],bemida,,,
710,שוליים,margins / edges / fringe,shulayim,,,
711,זכויות,rights / privileges,zkhuyot,,,
712,קרא,read / called (m.s.),kara,,,
713,הגדולים,the big / the large (m.pl.),hagdolim,,,
714,הלחימה,the warfare / the fighting,halekhima,,,
715,הלחימה,soldered (f.s.),hilkhima,,,
716,שאל,asked / borrowed (m.s.),sha'al,,,
717,הזאת,this (f.),hazot,,,
718,מקור,source / beak,makor,,,
719,חברי,my friend / friendly,khaveri,,,
720,חברי,my friends,khaverai,,,
721,חברי,friends of / members of,khavrei,,,
722,דיוויזיות,divisions,divizyot,,,
723,מיני,kinds of / species of,minei,,,
724,בתל,on a hill,betel,,,
725,בתל,on the hill,batel,,,
726,שימש,was used / served (m.s.),shimesh,,,
727,ויותר,and more,veyoter,,,
728,הביאו,brought (pl.),hevi'u,,,
729,במקומות,in/at places,bimkomot,,,
730,במקומות,in/at the places,bamekomot,,,
731,הנני,I am / here I am,hineni,,,
732,מפקד,commander,mefaked,,,
733,מפקד,census / muster,mifkad,,,
734,שלאחר,that after,shele'akhar,,,
735,מבין,from between / from among,mibein,,,
736,מבין,understand (m.s.),mevin,,,
737,ממנה,from her,mimena,,,
738,עצים,trees / logs,etsim,,,
739,שינוי,change,shinui,,,
740,הדגל,the flag,hadegel,,,
741,הדמוקרטיה,the democracy,hademokratya,,,
742,בכלל,at all,bikhlal,,,
743,עליהם,on them / about them (m.),aleihem,,,
744,מכך,from this,mikakh,,,
745,כמות,quantity / amount,kamut,,,
746,היסטוריה,history,historia,,,
747,אלי,to me,elai,,,
748,אלי,my god,eli,,,
749,קיימים,exist (m.pl.),kayamim,,,
750,המדינות,the states,hamedinot,,,
751,מרכזי,central (m.s.),merkazi,,,
752,ברחוב,on the street,barekhov,,,
753,ברחוב,on a street,berekhov,,,
754,האחרונות,the last (f.pl.),ha'akhronot,,,
755,ובכך,and by this,uvkhakh,,,
756,אומנם,indeed,omnam,,,
757,כולם,everybody (m.),kulam,,,
758,להורג,execution / putting to death,[hotsa'a] lahoreg,,,
759,קבוצות,groups,kvutsot,,,
760,להביא,to bring,lehavi,,,
761,השחקן,the player / the actor,hasakhkan,,,
762,חייו,his life,khayav,,,
763,היתר,the rest,hayeter,,,
764,אנרגיה,energy,energiya,,,
765,העלייה,the rise / the increase / the immigration,ha'aliya,,,
766,הבורים,the ignorant (m.pl.),haburim,,,
767,תחילת,the beginning of,tkhilat,,,
768,והם,and they,vehem,,,
769,האוכלוסייה,the population,ha'ukhlusiya,,,
770,ביער,in a forest,beya'ar,,,
771,ביער,in the forest,baya'ar,,,
772,כולו,all of it (m.s.),kulo,,,
773,ידע,knew (m.s.),yada,,,
774,ידע,knowledge,yeda,,,
775,יצאו,went out / came out (pl.),yats'u,,,
776,כיוון,direction / adjustment / tuning,kivun,,,
777,הערות,comments,he'arot,,,
778,למנוע,to prevent,limno'a,,,
779,מס,tax,mas,,,
780,לקריאה,for reading / for calling / for a call,likri'a,,,
781,טען,claimed / argued (m.s.),ta'an,,,
782,חודשים,months,khodashim,,,
783,בזה,hereby,baze,,,
784,בזה,in this one (m.),beze,,,
785,זהו,this is (m.) / that's it,zehu,,,
786,השאר,the rest,hash'ar,,,
787,השאר,leave (m.s. imperative),hash'er,,,
788,גבוהה,high / tall (f.s.),gvoha,,,
789,בתחום,in a field / in an area / in a range,bitkhum,,,
790,בתחום,in the field / in the area / in the range,batkhum,,,
791,מסוים,specific (m.s.),mesuyam,,,
792,המין,the kind / the species / the gender / the sex,hamin,,,
793,יודע,knows (m.s.),yode'a,,,
794,הקרקע,the soil / the ground / the land,hakarka,,,
795,העירייה,the municipality,ha'iriya,,,
796,טיפול,treatment,tipul,,,
797,נחל,stream,nakhal,,,
798,נחל,inherited / attained (m.s.),nakhal,,,
799,אתם,you (m.pl.),atem,,,
800,אתם,with them (m.pl.),itam,,,
801,שלום,peace,shalom,,,
802,גורמים,factors / cause (m.pl.),gormim,,,
803,היחידה,the unit / the squad / the only / the single,hayekhida,,,
804,מופיע,appear / perform (m.s.),mofi'a,,,
805,השטח,the area / the field / the territory,hashetakh,,,
806,חוקי,legal (m.s.),khuki,,,
807,הגדוד,the regiment,hagdud,,,
808,וכל,and all,vekol,,,
809,לקבל,to receive / to accept,lekabel,,,
810,בשר,meat,basar,,,
811,קיימת,exist (f.s.),kayemet,,,
812,פרסם,published / advertised (m.s.),pirsem,,,
813,העכברה,the mouse (female),ha'akhbara,,,
814,אינני,I am not,eineni,,,
815,בדיוק,exactly,bediyuk,,,
816,שר,minister,sar,,,
817,שר,sing (m.s.),shar,,,
818,שאר,rest / remainder,sh'ar,,,
819,ילדים,children,yeladim,,,
820,יצאה,went out / came out (f.s.),yatsa,,,
821,יתר,rest / remainder,yeter,,,
822,האל,the god,ha'el,,,
823,בספורט,in sport,besport,,,
824,בספורט,in the sport,basport,,,
825,עבודה,work,avoda,,,
826,לחלוטין,totally / entirely / absolutely,lakhalutin,,,
827,הפרוש,the meaning / the interpretation,haperush,,,
828,קטנים,small / little (m.pl.),ktanim,,,
829,נקודות,points,nekudot,,,
830,עצמה,herself,atsma,,,
831,עצמה,power / force / intensity,otsma,,,
832,חוסר,lack / deficiency / shortage / deficit,khoser,,,
833,בהתאם,accordingly,behet'em,,,
834,תהליך,process,tahalikh,,,
835,עצמי,myself / self,atsmi,,,
836,במצב,at a state / in a situation,bematsav,,,
837,במצב,at the state / in the situation,bamatsav,,,
838,לבנות,to build,livnot,,,
839,לבנות,for the girls,labanot,,,
840,לבנות,for girls,lebanot,,,
841,כנראה,probably,kanir'e,,,
842,הטבע,the nature,hateva,,,
843,העולמית,the global / the universal (f.s.),ha'olamit,,,
844,אכן,indeed,akhen,,,
845,בזכות,thanks to / due to / by right of,bizkhut,,,
846,קבוצה,group,kvutsa,,,
847,דין,judgment / sentence / law,din,,,
848,מוסדות,institutes,mosadot,,,
849,המדבר,the desert,hamidbar,,,
850,השדרה,the boulevard,hasdera,,,
851,בנק,bank,bank,,,
852,לזה,for this (m.),laze,,,
853,בפעם,[to] time,befa'am,,,
854,לצאת,to go out / to come out,latset,,,
855,סמוך,near / confident (m.s.),samukh,,,
856,חי,living / alive (m.s.),khai,,,
857,בנו,his son,bno,,,
858,המצב,the state / the situation,hamatsav,,,
859,דולר,dollar,dolar,,,
860,ממשלת,government of,memshelet,,,
861,עולם,world / universe,olam,,,
862,ספורט,sport,sport,,,
863,הליברלית,the liberal,haliberalit,,,
864,החלבון,the protein,hakhelbon,,,
865,שעות,hours,sha'ot,,,
866,מתחת,under / beneath,mitakhat,,,
867,בעלת,the owner of / has,ba'alat,,,
868,חזרה,returned / repeated (f.s.),khazra,,,
869,חזרה,repetition / rehearsal / back,khazara,,,
870,לאור,in light of,le'or,,,
871,עברה,passed / crossed / went through (f.s.),avra,,,
872,הביאה,brought (f.s.),hevi'a,,,
873,הגנרל,the general,hageneral,,,
874,הגיעה,arrived (f.s.),hegi'a,,,
875,בחודש,in a month,bekhodesh,,,
876,בחודש,in the month,bakhodesh,,,
877,צורך,need / necessity,tsorekh,,,
878,משחק,game,mis'khak,,,
879,תפקיד,role,tafkid,,,
880,אלוף,champion,aluf,,,
881,בדומה,like,bedome,,,
882,תאי,cells of,ta'ei,,,
883,תאי,cellular / my cell,ta'i,,,
884,די,enough,day,,,
885,בעיני,in the eyes of / in the opinion of,be'einei,,,
886,בעיני,in my eyes / in my opinion,be'einai,,,
887,קטנה,small / little (f.s.),ktana,,,
888,במרכז,at the center,bamerkaz,,,
889,במרכז,at the center of,bemerkaz,,,
890,מהווה,is / constitutes (m.s.),mehave,,,
891,יחסי,relative,yakhasi,,,
892,יחסי,the relations of,yakhasei,,,
893,הפועל,the worker / that operates,hapo'el,,,
894,הפועל,the verb,hapo'al,,,
895,אחדים,few,akhadim,,,
896,מיוחד,special,meyukhad,,,
897,ראה,saw (m.s.),ra'a,,,
898,הנראה,the visible,hanir'e,,,
899,לבן,white,lavan,,,
900,לבן,for the son,laben,,,
901,תנועה,movement / motion / traffic,tnu'a,,,
902,לאחד,to one (m.),le'ekhad,,,
903,העובדה,the fact,ha'uvda,,,
904,דרכים,ways / roads,drakhim,,,
905,לעיר,to a city,le'ir,,,
906,לעיר,to the city,la'ir,,,
907,הפעולה,the action / the operation / the deed / the transaction,hape'ula,,,
908,הפכה,inverted / converted / turned / become / transformed (f.s.),hafkha,,,
909,במלחמה,at war,bemilkhama,,,
910,במלחמה,in the war,bamilkhama,,,
911,העתיקה,the ancient / the old (f.s.),ha'atika,,,
912,דו,bi-,du,,,
913,גדוד,regiment,gdud,,,
914,חמצן,oxygen,khamtsan,,,
915,נא,please,na,,,
916,פנים,face,panim,,,
917,פנים,inside / interior,pnim,,,
918,מלא,full (m.s.),male,,,
919,לדעת,to know,lada'at,,,
920,לדעת,in the opinion of,leda'at,,,
921,עמדו,stood / were about to / endured / succeeded / insisted on (pl.),amdu,,,
922,אדום,red (m.s.),adom,,,
923,בסופו,at his end / at its end,besofo,,,
924,החוק,the law,hakhok,,,
925,הראשי,the main,harashi,,,
926,השפעה,effect / influence,hashpa'a,,,
927,הקולנוע,the cinema,hakolnoa,,,
928,גבי,from the back / dorsal,gabi,,,
929,לפחות,at least,lefakhot,,,
930,מדבר,desert,midbar,,,
931,מדינה,state,medina,,,
932,כיצד,how,keytsad,,,
933,מות,the death of,mot,,,
934,הבינלאומי,the international (m.s.),habeynleumi,,,
935,הנשק,the weapon,haneshek,,,
936,בעברית,in Hebrew,be'ivrit,,,
937,הוד,glory,hod,,,
938,כעת,now,ka'et,,,
939,כמובן,of course / certainly,kamuvan,,,
940,משהו,something,mashehu,,,
941,נהרגו,were killed,nehergu,,,
942,הצדדים,the sides,hatsdadim,,,
943,דרום,south,darom,,,
944,בדרום,in the south,badarom,,,
945,שמות,names,shemot,,,
946,שמות,Book of Exodus (bible),shmot,,,
947,אוכל,food,okhel,,,
948,אוכל,eat (m.s.),okhel,,,
949,אוכל,I will eat,okhal,,,
950,אוכל,I will be able,ukhal,,,
951,בשביל,for,bishvil,,,
952,בשביל,on the path,bashvil,,,
953,משם,from there,misham,,,
954,מדובר,spoken / said / agreed,medubar,,,
955,חזר,returned / repeated (m.s.),khozer,,,
956,מקורות,sources,mekorot,,,
957,מהן,what are (f.),mahen,,,
958,מלבד,except,milvad,,,
959,נתן,gave (m.s.),natan,,,
960,עניין,matter / interest,inyan,,,
961,חשיבות,importance,khashivut,,,
962,צורת,shape of / form of,tsurat,,,
963,הצפון,the north,hatsafon,,,
964,האזור,the area / the region / the zone,ha'ezor,,,
965,העיקריים,the main / the principal / the primary (m.pl.),ha'ikariym,,,
966,העצמאות,the independence,ha'atsma'ut,,,
967,נבחר,was elected / was selected / the elected / the selected (m.s.),nivkhar,,,
968,ברוב,in most of,berov,,,
969,והיה,and was (m.s.),vehaya,,,
970,הללו,those,halalu,,,
971,החליט,decided (m.s.),hekhlit,,,
972,מבנים,structures,mivnim,,,
973,עמו,his people,amo,,,
974,עמו,with him,imo,,,
975,לשמור,to keep / to guard / to protect,lishmor,,,
976,מאשר,approves / confirms (m.s.),me'asher,,,
977,נשים,women,nashim,,,
978,בטיפול,in treatment,betipul,,,
979,בטיפול,during the treatment,batipul,,,
980,סנט,mocked / teased (m.s.),sanat,,,
981,הממשל,the government,hamimshal,,,
982,המסע,the journey,hamasa,,,
983,ביקורת,criticism / inspection,bikoret,,,
984,הנדסה,engineering,handasa,,,
985,הלאה,further,hal'a,,,
986,למדי,quite / rather,lemadai,,,
987,הגשם,the rain,hageshem,,,
988,במקרה,in case / accidentally,bemikre,,,
989,החוף,the beach,hakhof,,,
990,בנושא,on the subject of,benose,,,
991,בנושא,on the subject,banose,,,
992,האמנות,the art,ha'omanut,,,
993,האמנות,the treaties / the conventions,ha'amanot,,,
994,העכבישה,the spider (female),ha'akavisha,,,
995,שבועות,weeks / Shavuot (Jewish holiday),shavu'ot,,,
996,לבצע,to perform / to execute,levatse'a,,,
997,למקום,to a place,lemakom,,,
998,למקום,to the place,lamakom,,,
999,במטרה,aimed at,bematara,,,
1000,מערב,west,ma'arav,,,
1001,הדרום,the south,hadarom,,,
1002,התיכון,the middle (m.s.) / the median (m.s.) / the high school / the Mediterranean (sea),hatikhon,,,
1003,מסע,journey,masa,,,
1004,כאן,here,kan,,,
1005,חצי,half,khetsi,,,
1006,באי,on the island,ba'i,,,
1007,באי,on an island,be'i,,,
1008,קבע,permanence / regularity,keva,,,
1009,קבע,career army,[tsva] keva,,,
1010,קבע,determined / fixed / set (m.s.),kava,,,
1011,חוק,law,khok,,,
1012,הגנה,defense,hagana,,,
1013,הדם,the blood,hadam,,,
1014,ובהם,and in them (m.),uvahem,,,
1015,הנושא,the subject,hanose,,,
1016,שיטות,methods,shitot,,,
1017,סוגי,kinds of / classes of / types of,sugei,,,
1018,תהילים,psalms,tehilim,,,
1019,שעל,that is on,she'al,,,
1020,שעל,step,sha'al,,,
1021,התהילה,the glory / the fame,hatehila,,,
1022,המשיכו,continued (pl.),himshikhu,,,
1023,גורם,factor / cause (m.s.),gorem,,,
1024,תושבי,the residents of,toshvei,,,
1025,הנוצרים,the Christian (m.pl.),hanotsrim,,,
1026,הזהב,the gold,hazahav,,,
1027,באזורים,in areas,be'ezorim,,,
1028,באזורים,in the areas,ba'ezorim,,,
1029,דווקא,actually / spitefully,davka,,,
1030,הפיסול,the sculpture,hapisul,,,
1031,הנמלים,the harbors,hanmalim,,,
1032,הנמלים,the ants,hanemalim,,,
1033,עושה,do / make (m.s.),ose,,,
1034,עושה,do / make (f.s.),osa,,,
1035,כסף,money,kesef,,,
1036,באמצע,in the middle,ba'emtsa,,,
1037,שמה,placed / put (f.s.),sama,,,
1038,שמה,there,shama,,,
1039,שמה,her name,shma,,,
1040,יורק,spits,yorek,,,
1041,רחוב,street,rekhov,,,
1042,יצר,created / made (m.s.),yatsar,,,
1043,האזרחים,the citizens,ha'ezrakhim,,,
1044,מגדל,tower,migdal,,,
1045,שאינם,that are not / that are not here (m.pl.),she'einam,,,
1046,הצבאי,the military (m.s.),hatsva'i,,,
1047,מרבית,most of,marbit,,,
1048,השיר,the song / the poem,hashir,,,
1049,הלילה,tonight / the night,halaila,,,
1050,קול,voice / sound,kol,,,
1051,ורק,and only,verak,,,
1052,מעין,spring,ma'ayan,,,
1053,במלחמת,in the war of,bemilkhemet,,,
1054,במערב,in the west,bama'arav,,,
1055,במערב,in the west of,bema'arav,,,
1056,מערבה,to the west,ma'arava,,,
1057,התוכנית,the program / the plan,hatokhnit,,,
1058,תה,tea,te,,,
1059,הזקן,the old (m.s.),hazaken,,,
1060,ערב,evening,erev,,,
1061,ערב,pleasant / surety,arev,,,
1062,עין,eye / fountain / spring,ayin,,,
1063,משרד,office / bureau / Ministry,misrad,,,
1064,מאחר,since,me'akhar,,,
1065,מאחר,late (m.s.),me'akher,,,
1066,בתחילה,at first / initially,batkhila,,,
1067,תנאי,condition / provision,tnai,,,
1068,תנאי,conditions of / provisions of,tna'ei,,,
1069,החיילים,the soldiers,hakhayalim,,,
1070,אביו,his father,aviv,,,
1071,הקשר,the tie / the bond / the link / the connection,hakesher,,,
1072,למלחמה,to war,lemilkhama,,,
1073,למלחמה,to [the] war,lamilkhama,,,
1074,תדיר,frequently,tadir,,,
1075,ענה,answered (m.s.),ana,,,
1076,קל,easy / light weight (m.s.),kal,,,
1077,טובה,good (f.s.) / favor,tova,,,
1078,הימים,the days,hayamim,,,
1079,לפעול,to act / to operate,lif'ol,,,
1080,בניית,building of (v.),bniyat,,,
1081,לשון,tongue / language,lashon,,,
1082,עשרות,dozens [literally: tens],asarot,,,
1083,עשרות,dozens of [literally: tens of],asrot,,,
1084,המערבי,the western (m.s.),hama'aravi,,,
1085,נבנה,was built (m.),nivna,,,
1086,נבנה,is built / we will build,nivne,,,
1087,המתקפה,the attack,hamitkafa,,,
1088,המרכזי,the central (m.s.),hamerkazi,,,
1089,תגיות,badges / labels / tags,tagiyot,,,
1090,באמת,really,be'emet,,,
1091,למה,why,lama,,,
1092,התובע,the prosecutor,hatove'a,,,
1093,הבא,next / the person who is coming (m.s.),haba,,,
1094,יכלו,could (pl.),yakhlu,,,
1095,מסוג,of a kind / of a class / of a type,misug,,,
1096,נמצאים,are found / are [at] (m.pl.),nimtsa'im,,,
1097,כדור,ball / pill,kadur,,,
1098,הורה,instructed (m.s.),hora,,,
1099,הורה,parent,hore,,,
1100,ניסה,tried (m.s.),nisa,,,
1101,הדת,the religion,hadat,,,
1102,כיבוש,occupation,kibush,,,
1103,לשלטון,into power / to/for the government,lashilton,,,
1104,לשלטון,to/for the power of / to/for the reign of,leshilton,,,
1105,גילה,her age / found out (m.s.) / joy,gila,,,
1106,ציון,note / mark / pointing out / grade,tsiyun,,,
1107,ציון,Zion,tsiyon,,,
1108,היצורים,the creatures,hayetsurim,,,
1109,שלנו,ours,shelanu,,,
1110,ושם,and a name,veshem,,,
1111,ושם,and there,vesham,,,
1112,הסיפור,the story,hasipur,,,
1113,במהירות,fast / rapidly / quickly,bimhirut,,,
1114,בר,wild / son / -able / bar,bar,,,
1115,צעירים,young (m.pl.),tse'irim,,,
1116,לצורך,for the purpose of,letsorekh,,,
1117,לטיפול,for treatment,letipul,,,
1118,לטיפול,for the treatment,latipul,,,
1119,צוות,team / staff,tsevet,,,
1120,משמעות,meaning,mashma'ut,,,
1121,מקומות,places,mekomot,,,
1122,העבדות,the slavery,ha'avdut,,,
1123,חושי,sensory,khushi,,,
1124,שער,gate,sha'ar,,,
1125,שער,hair,se'ar,,,
1126,החולים,the patients / the sick,hakholim,,,
1127,הטוב,the good (m.s.),hatov,,,
1128,לכיוון,to/in the direction of / for adjustment / for tuning,lekivun,,,
1129,לכיוון,in the direction / for the adjustment / for the tuning,lakivun,,,
1130,מאחורי,behind,me'akhorei,,,
1131,מאחורי,behind me,me'akhorai,,,
1132,תרופות,medications / drugs,trufot,,,
1133,מסוימת,specific (f.s.),mesuyemet,,,
1134,מעמד,class (social) / status / scene / pedestal,ma'amad,,,
1135,בשטח,in the area / in the field / in the territory,bashetakh,,,
1136,בשטח,in an area,beshetakh,,,
